107	award.award_nominated_work
17	award.award_nomination
274	award.award_nomination_announcement
40	award.award_nominee
488	award.award_presenting_organization
94	award.award_winner
64	award.award_winning_work
227	award.category_ceremony_relationship
315	award.competition
1252	award.competition_type
509	award.competitor
1060	award.hall_of_fame
1684	award.hall_of_fame_discipline
218	award.hall_of_fame_inductee
793	award.hall_of_fame_induction
1275	award.hall_of_fame_induction_category
1061	award.long_list_nomination
715	award.long_list_nominee
294	award.long_listed_work
327	award.ranked_item
222	award.ranked_list
691	award.ranked_list_compiler
261	award.ranking
1099	award.recurring_award_ceremony
733	award.recurring_competition
2069	baseball.baseball_historical_managerial_position
2066	baseball.baseball_player
2070	baseball.current_coaching_tenure
2071	baseball.historical_coaching_tenure
573	basketball.basketball_coach
1069	basketball.basketball_conference
1068	basketball.basketball_division
875	basketball.basketball_historical_coach_position
59	basketball.basketball_player
1377	basketball.basketball_player_career_stats
827	basketball.basketball_player_stats
1900	basketball.basketball_position
438	basketball.basketball_team
1011	basketball.basketball_team_stats
1173	bicycles.bicycle_manufacturer
895	bicycles.bicycle_model
501	bicycles.bicycle_type
1415	biology.amino_acid
331	biology.animal
330	biology.animal_breed
1370	biology.animal_owner
1242	biology.animal_ownership
1452	biology.breed_coloring
1787	biology.breed_group
1192	biology.breed_origin
1196	biology.breed_registration
1940	biology.breed_registry
813	biology.breed_temperament
1438	biology.chromosome
636	biology.cytogenetic_band
731	biology.deceased_organism
1463	biology.domesticated_animal
1135	biology.fossil_site
1507	biology.fossil_specimen
500	biology.gene
640	biology.gene_group
643	biology.gene_group_membership
645	biology.gene_group_membership_evidence
1819	biology.gene_ontology_data_source
639	biology.gene_ontology_group
644	biology.gene_ontology_group_membership_evidence
1560	biology.gene_ontology_group_membership_evidence_type
1905	biology.gene_ontology_group_type
1474	biology.genome
1907	biology.genome_build
1854	biology.genome_curator
635	biology.genomic_locus
1007	biology.hybrid
1008	biology.hybrid_parent_classification
1842	biology.hybrid_parent_gender
1014	biology.hybrid_parentage
1285	biology.informal_biological_grouping
547	biology.organism
10	biology.organism_classification
1001	biology.organism_classification_placement
675	biology.organism_classification_rank
1234	biology.organism_part
716	biology.owned_animal
717	biology.pedigreed_animal
1145	biology.plant_disease
1146	biology.plant_disease_cause
1830	biology.plant_disease_conditions
1547	biology.plant_disease_documentation
1605	biology.plant_disease_host
1548	biology.plant_disease_triangle
589	biology.protein
1620	biology.source_organism
1503	biology.taxon_with_sequenced_genome
1300	biology.taxonomic_authority
1511	boats.boat_disposition
1627	boats.boat_fate
1894	boats.engine
1924	boats.engine_fuel
1693	boats.hull_configuration
1852	boats.hull_material
1557	boats.means_of_propulsion
986	boats.nuclear_powerplant
300	boats.ship
1021	boats.ship_builder
552	boats.ship_class
1214	boats.ship_designer
532	boats.ship_owner
830	boats.ship_ownership
985	boats.ship_powerplant
1747	boats.ship_powerplant_system
744	boats.ship_type
852	boats.warship_armament
1287	book.audio_book_reader
153	book.author
42	book.book
1457	book.book_binding
