medicine.hospital_ownership
base.petbreeds.dog_city_relationship
boxing.match_boxer_relationship
base.constructionmachinery.transmission
base.schemastaging.food_energy_information
user.digitalarchivist.default_domain.academic_library
tv.tv_producer_episode_credit
base.summarystatistics.production_period
base.triathlon.triathlon_result
base.siswimsuitmodels.si_swimsuit_appearance
base.educationextended.occupancy
base.the_pixel_lab.web_design
user.cohesion.default_domain.medical_testing
user.maximilianschich.CIDOC_CRM.p21
user.maximilianschich.CIDOC_CRM.p62
base.aubreymaturin.crew_membership
base.sportssandbox.sports_team_member_appearance
base.skosbase.skos_exact_match_relation
base.bicycle.bicyle_models
user.skud.default_domain.visa_duration
base.localfood.produce_availability
user.arielb.stalag.prisoners
business.company_product_line_relationship
user.drakecaiman.procure.procure_user_contact
base.athletics.athletics_competition_athlete_relationship
biology.plant_disease_triangle
astronomy.number_of_stars
base.americancivilwar.ship_allegiance
base.galwaypubs.pubvisit
cricket.cricket_player_debut
user.kobiho.default_domain.mobile
user.duck1123.default_domain.mtg_edition
user.coco.voting.election_results
base.surfing.asp_world_tour_rating
base.burningkumquat.planted_vegetable
sports.competitor_country_relationship
base.oldfbwiki.freebase_commons_votes
base.trixtypes.stat
user.digitalarchivist.default_domain.digital_library_collection
user.nigelkerr.default_domain.citation_group
user.maximilianschich.CIDOC_CRM.p33
user.maximilianschich.CIDOC_CRM.p71
user.maximilianschich.CIDOC_CRM.p69
base.jewishcommunities.synagogue_use
medicine.drug_therapeutic_equivalence_relationship
broadcast.callsign_duration
theater.theater_production_staff_gig
tv.tv_guest_personal_appearance
user.maximilianschich.default_domain.ownership
user.maximilianschich.CIDOC_CRM.p120
base.argumentmaps.motivation
base.lostintime.probable_date
base.athletics.current_area_record
base.events.event_feed
base.cars_refactor.similar_automobile_models
user.nanodeath.default_domain.anime
baseball.historical_coaching_tenure
base.contractbridge.bridge_player_teammates
user.ungzd.default_domain.eurovision_vote
user.afvalnl.default_domain.tuinhout
base.business_report.reporting_dimension
cvg.game_performance
user.maximilianschich.CIDOC_CRM.p110
