projects.project_participation.participant	projects.project_participant.projects
royalty.order_of_chivalry.founders	royalty.chivalric_order_founder.orders_founded
tv.tv_network_duration.program	tv.tv_program.original_network
astronomy.telescope_type.higher_classification	astronomy.telescope_type.lower_telescope_classification
business.asset_ownership.owned_asset	business.asset.owners
education.educational_institution.school_magazines	education.school_magazine.school
engineering.battery_size.shape_format	engineering.battery_shape_format.battery_sizes
event.disaster.surviving_structures	event.disaster_affected_structure.survived_disasters
visual_art.artwork.artist	visual_art.visual_artist.artworks
cvg.computer_videogame.peripheral_classes_supported	computer.computer_peripheral_class.supporting_games
distilled_spirits.infused_spirit.producer	distilled_spirits.spirit_blender.infusions
location.metropolitan_area.anchor_city	location.metropolitan_area_anchor.metropolitan_area
medicine.drug_formulation.dosage_form	medicine.drug_dosage_form.formulations_available_in_this_form
medicine.medical_trial.phase	medicine.medical_trial_phase.medical_trials
music.recording.artist	music.artist.track
symbols.coat_of_arms.coronet	symbols.heraldic_coronet.coat_of_arms
tv.tv_producer_episode_credit.producer	tv.tv_producer.tv_episodes_produced
atom.feed_item.feed	atom.feed.items
business.trade_union.professions_represented	people.profession.represented_by_trade_unions
exhibitions.exhibition.exhibits	exhibitions.exhibit.exhibitions_displayed_in
food.food.nutrients	food.nutrition_fact.food
law.constitutional_amendment.constitution	law.constitution.amendments
media_common.quotation.spoken_by_character	fictional_universe.fictional_character.quotations
medicine.hospital.medical_specialties	medicine.medical_specialty.hospitals_with_this_specialty
metropolitan_transit.transit_system.transit_lines	metropolitan_transit.transit_line.transit_system
music.composition.composer	music.composer.compositions
olympics.olympic_athlete_affiliation.olympics	olympics.olympic_games.athletes
people.family.members	people.family_member.family
tv.tv_crewmember.tv_episodes_crewed	tv.tv_crew_gig.crewmember
architecture.light_attributes.light_type	architecture.light_characteristic.lighthouse_having_characteristics
astronomy.star_system.dwarf_planets	astronomy.dwarf_planet.star_system
automotive.trim_level.options	automotive.opt_trim_relationship.trim_levels
location.partial_containment_relationship.partially_contains	location.location.partially_contained_by
measurement_unit.specific_energy_unit.measurement_system	measurement_unit.measurement_system.specific_energy_units
measurement_unit.surface_tension_unit.measurement_system	measurement_unit.measurement_system.surface_tension_units
music.engineer.releases_engineered	music.release.engineers
protected_sites.protected_site.system	protected_sites.park_system.member_parks
royalty.order_of_chivalry.higher_order	royalty.chivalric_order_relationship.lower_order
soccer.football_disciplinary_action.player	soccer.football_player.disciplinary_action
visual_art.artwork_owner_relationship.artwork	visual_art.artwork.owners
fictional_universe.fictional_character.medical_conditions	fictional_universe.medical_condition_in_fiction.characters_with_this_condition
geography.body_of_water.bridges	transportation.bridge.body_of_water_spanned
medicine.routed_drug.canonical_brands	medicine.drug_brand.canonical_routed_drugs
olympics.olympic_demonstration_competition.medalists	olympics.olympic_demonstration_medal_honor.event
spaceflight.space_program.missions	spaceflight.space_mission.space_program
time.month.calendar_system	time.calendar.months
wine.wine.wine_producer	wine.wine_producer.wines
biology.animal_breed.breed_of	biology.domesticated_animal.breeds
book.book_edition.publisher	book.publishing_company.books_published
broadcast.tv_affiliation_duration.network	tv.tv_network.affiliates
