chemistry.periodic_table_block.elements	chemistry.periodic_table_block
cvg.game_series.games_in_series	cvg.game_series
digicams.camera_sensor_size.horizontal_size	digicams.camera_sensor_size
education.educational_degree.people_with_this_degree	education.educational_degree
education.school.ministry_of_education_no	education.school
engineering.engine.first_ran	engineering.engine
fictional_universe.fictional_character.has_possessed	fictional_universe.fictional_character
geography.river.origin	geography.river
law.us_patent.us_patent_type	law.us_patent
location.census_tract.pqns_is_b	location.census_tract
location.ru_raion.administrative_center	location.ru_raion
location.statistical_region.abortions	location.statistical_region
location.statistical_region.part_time_employment_percent	location.statistical_region
measurement_unit.percentage_range.high_value	measurement_unit.percentage_range
measurement_unit.unit_of_molar_mass.molar_mass_in_grams_per_mole	measurement_unit.unit_of_molar_mass
media_common.cataloged_instance.stanford_opac	media_common.cataloged_instance
medicine.drug_formulation.active_moieties	medicine.drug_formulation
music.artist.origin	music.artist
music.music_video_gig.music_video	music.music_video_gig
music.recording.genre	music.recording
music.release_track.recording	music.release_track
organization.leadership.person	organization.leadership
protected_sites.protected_site.governing_body	protected_sites.protected_site
royalty.order_of_chivalry.date_last_awarded	royalty.order_of_chivalry
royalty.system_rank_relationship.from_date	royalty.system_rank_relationship
sports.sports_league.sport	sports.sports_league
sports.sports_team_coach.sports_coached	sports.sports_team_coach
visual_art.artwork_owner_relationship.purchase_price	visual_art.artwork_owner_relationship
architecture.building.floor_space_square_meters	architecture.building
automotive.transmission.classification	automotive.transmission
automotive.trim_level.length	automotive.trim_level
aviation.airline_alliance.number_of_non_voting_members	aviation.airline_alliance
aviation.aviation_incident_aircraft_relationship.operator	aviation.aviation_incident_aircraft_relationship
award.award_category.judges_jury	award.award_category
book.illustrator.books_illustrated	book.illustrator
boxing.match_boxer_relationship.boxer	boxing.match_boxer_relationship
business.brand.parent_brand	business.brand
business.defunct_company.ceased_operations	business.defunct_company
comic_books.comic_book_issue.cover_letters	comic_books.comic_book_issue
cricket.cricket_roster_keeping.stumpings	cricket.cricket_roster_keeping
engineering.engine_category.sub_categories	engineering.engine_category
fictional_universe.fictional_object.creation_date	fictional_universe.fictional_object
film.performance.character	film.performance
food.bottled_water.calcium_content	food.bottled_water
geography.waterfall.drop_number	geography.waterfall
government.election_poll.release_date	government.election_poll
location.census_tract.ns_6_12_r	location.census_tract
media_common.literary_genre.stories_in_this_genre	media_common.literary_genre
medicine.disease.treatments	medicine.disease
medicine.drug_formulation.active_ingredient_moieties	medicine.drug_formulation
metropolitan_transit.transit_system.system_length	metropolitan_transit.transit_system
music.release.track_list	music.release
projects.project.project_focus	projects.project
skiing.lift_tenure.date_built	skiing.lift_tenure
